Ranking,Modelo,ROC_AUC_CV,ROC_AUC_CV_STD,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Seleccionado
1,Regresion_Logistica,0.645878735740481,0.20239666888824392,0.49048572148653274,0.7437741890459698,0.8793372941415493,0.782739863971363,0.3330566100569907,1
2,Gradient_Boosting,0.6405674154978205,0.19587422224381673,0.48274510442895013,0.7323354316887147,0.8646586006405813,0.7804092173615422,0.34268872336931405,0
3,Random_Forest,0.6275924562011318,0.20094199008262267,0.45487885674129325,0.7408546480819093,0.8270792749241104,0.791700951974169,0.3234485492841773,0
